Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z
Pinzgau / Lend	0	0	0	0	0	0	0
Pinzgau / Leogang	0	0	0	0	0	0	0
Pinzgau / Lofer	1	1	1	1	1	1	1
Pinzgau / Maishofen	0	0	0	0	0	0	0
Pinzgau / Maria Alm am Steinernen Meer	0	0	0	0	0	0	0
Pinzgau / Mittersill	2	2	2	2	2	2	2
Pinzgau / Neukirchen am Großvenediger	0	0	0	0	0	0	0
Pinzgau / Niedernsill	0	0	0	0	0	0	0
Pinzgau / Piesendorf	0	0	0	0	0	0	0
Pinzgau / Rauris	0	0	0	0	0	0	0
Pinzgau / Saalbach-Hinterglemm	1	1	1	1	1	1	1
Pinzgau / Saalfelden am Steinernen Meer	2	2	2	2	2	2	2
Pinzgau / Sankt Martin bei Lofer	0	0	0	0	0	0	0
Pinzgau / Stuhlfelden	0	0	0	0	0	0	0
Pinzgau / Taxenbach	0	0	0	0	0	0	0
Pinzgau / Unken	0	0	0	0	0	0	0
Pinzgau / Uttendorf	1	1	1	1	1	1	1
Pinzgau / Viehhofen	0	0	0	0	0	0	0
Pinzgau / Wald im Pinzgau	0	0	0	0	0	0	0
Pinzgau / Weißbach bei Lofer	0	0	0	0	0	0	0
Pinzgau / Zell am See	2	2	2	2	2	2	2
Pinzgau / Pinzgau - Nicht zugeordnet	0	0	0	0	0	0	0
