Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z	2020-04-11T16:09:45.000Z
Flachgau / Flachgau	799	815	821	863	852	871	894	895
Flachgau / Anif	18	19	19	23	20	20	20	20
Flachgau / Anthering	10	10	10	11	11	11	11	11
Flachgau / Bergheim	52	52	52	53	53	53	53	53
Flachgau / Berndorf bei Salzburg	7	7	7	7	7	7	7	7
Flachgau / Bürmoos	15	16	16	16	16	18	18	18
Flachgau / Dorfbeuern	6	6	6	7	6	6	6	6
Flachgau / Ebenau	5	5	5	6	6	6	6	6
Flachgau / Elixhausen	8	9	9	10	10	10	10	10
Flachgau / Elsbethen	20	20	20	21	21	22	22	22
Flachgau / Eugendorf	31	33	33	34	34	35	40	40
Flachgau / Faistenau	13	13	14	14	14	14	16	16
Flachgau / Fuschl am See	16	17	17	17	17	18	18	18
Flachgau / Göming	14	14	14	14	14	15	15	15
Flachgau / Grödig	31	32	32	32	32	32	32	32
Flachgau / Großgmain	6	6	6	6	6	6	6	6
Flachgau / Hallwang	14	15	15	16	16	16	16	16
Flachgau / Henndorf am Wallersee	48	48	48	50	50	50	50	50
Flachgau / Hintersee	3	3	3	3	3	3	3	3
Flachgau / Hof bei Salzburg	17	18	18	18	18	19	20	20
Flachgau / Köstendorf	5	5	5	5	5	6	7	7
Flachgau / Koppl	33	34	34	35	34	35	37	37
Flachgau / Lamprechtshausen	15	15	15	15	15	15	16	16
Flachgau / Mattsee	3	3	4	5	5	6	7	7
Flachgau / Neumarkt am Wallersee	13	13	13	15	15	15	15	15
Flachgau / Nußdorf am Haunsberg	18	18	18	18	18	18	18	18
Flachgau / Oberndorf bei Salzburg	11	11	11	13	13	14	14	14
Flachgau / Obertrum am See	15	15	16	17	16	16	18	18
Flachgau / Plainfeld	15	15	15	15	15	15	15	15
Flachgau / Sankt Georgen bei Salzburg	28	28	28	28	28	28	28	28
