Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z	2020-05-11T07:09:49.000Z	2020-05-11T15:55:55.000Z
Pongau / Flachau	81	84	84	86	85	85	85	85	85
Pongau / Forstau	12	12	12	15	15	15	15	15	15
Pongau / Goldegg	29	29	29	31	30	34	34	34	34
Pongau / Großarl	93	93	93	101	101	104	111	111	111
Pongau / Hüttau	10	10	10	11	11	12	12	12	12
Pongau / Hüttschlag	9	9	9	11	12	12	13	13	13
Pongau / Kleinarl	14	14	14	16	15	15	15	15	15
Pongau / Mühlbach am Hochkönig	12	12	12	12	12	12	12	12	12
Pongau / Pfarrwerfen	12	14	14	15	15	17	18	18	19
Pongau / Radstadt	52	55	55	56	56	58	60	60	61
Pongau / Sankt Johann im Pongau	104	107	107	123	126	136	148	148	149
Pongau / Sankt Martin im Tennengebirge	58	61	61	63	63	64	66	66	66
Pongau / Sankt Veit im Pongau	29	29	29	35	32	36	36	36	37
Pongau / Schwarzach im Pongau	28	29	29	30	31	32	34	34	34
Pongau / Untertauern	9	9	9	10	9	9	9	9	9
Pongau / Wagrain	35	36	36	38	38	39	39	39	39
Pongau / Werfen	21	21	21	24	24	27	29	29	29
Pongau / Werfenweng	5	5	5	5	5	5	5	5	5
Pongau / Pongau - Nicht zugeordnet	30	31	31	31	31	33	36	36	37
Tennengau / Tennengau	763	787	795	828	827	858	882	882	883
Tennengau / Abtenau	62	66	66	67	67	70	78	78	78
Tennengau / Adnet	60	61	62	67	66	69	69	69	69
Tennengau / Annaberg-Lungötz	6	8	8	8	8	8	8	8	8
Tennengau / Golling an der Salzach	64	67	68	69	69	70	73	73	73
Tennengau / Hallein	165	175	178	185	185	192	200	200	200
Tennengau / Krispl	16	16	16	18	18	18	18	18	18
Tennengau / Kuchl	237	239	241	249	249	257	259	259	260
Tennengau / Oberalm	28	29	29	32	32	34	35	35	35
Tennengau / Puch bei Hallein	41	41	42	45	45	48	49	49	49
Tennengau / Rußbach am Pass Gschütt	1	1	1	1	1	1	1	1	1
Tennengau / Sankt Koloman	29	29	29	30	30	31	32	32	32
Tennengau / Scheffau am Tennengebirge	15	15	15	15	15	16	16	16	16
Tennengau / Bad Vigaun	27	28	28	30	30	32	32	32	32
