Gemeinde,2020-11-01T09:53:55.000Z,2020-11-02T05:51:10.000Z,2020-11-02T14:58:48.000Z,2020-11-03T05:54:06.000Z,2020-11-03T14:50:35.000Z,2020-11-04T04:53:25.000Z,2020-11-04T14:09:45.000Z,2020-11-05T05:09:49.000Z,2020-11-05T07:09:49.000Z,2020-11-05T15:55:55.000Z,2020-11-06T06:52:43.000Z,2020-11-06T11:01:26.000Z,2020-11-06T13:01:26.000Z
Tweng,5,5,5,5,5,5,5,6,6,6,6,6,6
Unternberg,3,4,4,8,8,8,8,9,9,9,10,10,10
Weißpriach,1,3,3,3,3,3,3,3,3,3,3,3,3
Zederhaus,25,31,31,31,31,36,36,39,39,39,46,46,46
Lungau - Nicht zugeordnet,13,14,14,14,14,15,15,15,15,16,17,17,17
Pinzgau,937,963,963,985,986,1042,1043,1098,1098,1098,1170,1170,1170
Bramberg am Wildkogel,15,16,16,17,17,19,19,23,23,23,25,25,25
Bruck an der Glocknerstraße,51,52,52,53,53,54,55,58,58,58,63,63,63
Dienten am Hochkönig,5,6,6,9,9,9,9,12,12,12,14,14,14
Fusch an der Glocknerstraße,6,6,6,6,6,6,6,6,6,6,6,6,6
Hollersbach,3,3,3,3,3,5,5,8,8,8,10,10,10
Kaprun,33,34,34,36,36,41,41,41,41,41,41,41,41
Krimml,11,13,13,15,15,18,18,22,22,22,25,25,25
Lend,9,10,10,10,10,10,10,10,10,10,13,13,13
Leogang,21,21,21,22,22,24,24,27,27,27,32,32,32
Lofer,31,32,32,32,32,32,32,32,32,32,32,32,32
Maishofen,35,37,37,37,37,38,38,38,38,38,39,39,39
Maria Alm am Steinernen Meer,5,5,5,5,5,6,6,7,7,7,9,9,9
Mittersill,57,59,59,60,60,64,64,68,68,68,72,72,72
Neukirchen am Großvenediger,11,11,11,11,11,14,14,16,16,16,16,16,16
Niedernsill,13,16,16,17,17,17,17,17,17,17,17,17,17
Piesendorf,42,42,42,42,42,43,43,45,45,45,46,46,46
Rauris,23,26,26,27,27,27,27,28,28,28,30,30,30
Saalbach-Hinterglemm,54,54,54,55,55,56,56,56,56,56,58,58,58
Saalfelden am Steinernen Meer,151,152,152,156,157,176,176,190,190,190,215,215,215
Sankt Martin bei Lofer,23,24,24,24,24,24,24,25,25,25,27,27,27
Stuhlfelden,10,10,10,10,10,10,10,11,11,11,12,12,12
Taxenbach,43,45,45,47,47,49,49,49,49,49,49,49,49
Unken,55,55,55,56,56,55,55,55,55,55,55,55,55
Uttendorf,21,22,22,22,22,22,22,25,25,25,27,27,27
Viehhofen,10,10,10,10,10,10,10,10,10,10,10,10,10
Wald im Pinzgau,13,13,13,13,13,13,13,15,15,15,15,15,15
Weißbach bei Lofer,15,15,15,15,15,17,17,17,17,17,17,17,17
Zell am See,163,166,166,167,167,171,171,175,175,175,182,182,182
Pinzgau - Nicht zugeordnet,8,8,8,8,8,12,12,12,12,12,13,13,13
